pl_name,hostname,tic_id,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma,v_esc,"Loss/0.01protoatm., t=0.1 Gyr",insol_0.1_Gyr,"Loss/0.01protoatm., t=0.6 Gyr",insol_0.6_Gyr,"Loss/0.01protoatm., t=1.0 Gyr",insol_1.0_Gyr,"Loss/0.01protoatm., t=5.0 Gyr",insol_5.0_Gyr,"Loss/0.01protoatm., t=10.0 Gyr",insol_10.0_Gyr,"Loss/0.01protoatm., star_age",insol_star_age
NGTS-9 b,NGTS-9,TIC 176685457,0.058,11.99363,921.707,F8 V,6330.0,1.38,1.34,2.452,0.96,F6V,0.00100,0.1,1.23,98.0,0.03134599,728.75914,0.07737622,728.75914,0.08738122,728.75914,0.11220977,728.75914,0.12037721,728.75914,0.08662418,568.02306
K2-131 b,K2-131,TIC 176868951,0.00936,1.69,7.9,,5120.0,0.7595,0.803,0.332,5.3,K2V,0.00100,0.1,1.23,24.2,6.20477507,3787.81101,15.31621886,3787.81101,17.29665609,3787.81101,22.21133862,3787.81101,23.82803986,3787.81101,22.35738570,3849.53324
HAT-P-6 b,HAT-P-6,TIC 176899385,0.05239,16.58932,419.5356,,6570.0,1.62,1.79,3.570,2.3,F5V,0.00100,0.1,1.23,56.2,0.71458374,1300.68821,1.76391904,1300.68821,1.99199955,1300.68821,2.55800753,1300.68821,2.74419774,1300.68821,2.31094464,1186.40895
HD 106270 b,HD 106270,TIC 176910071,3.34,12.4,3623.2438398,G5 IV,5509.0,2.66,1.39,5.700,4.3,G8V,0.00100,0.1,1.23,191.1,0.00000157,0.51095,0.00000388,0.51095,0.00000438,0.51095,0.00000563,0.51095,0.00000604,0.51095,0.00000553,0.50689
K2-99 b,K2-99,TIC 176966903,0.153,11.88151954,276.51071409,G0 IV,6069.0,2.55,1.44,7.930,3.7,F9V,0.00100,0.1,1.23,53.9,0.15740227,338.75611,0.38854068,338.75611,0.43878027,338.75611,0.56345556,338.75611,0.60446792,338.75611,0.54349875,329.91306
HAT-P-50 b,HAT-P-50,TIC 17746821,0.0453,14.437192,429.0705,F5,6280.0,1.698,1.273,4.010,3.37,F7V,0.00100,0.1,1.23,60.9,0.67649764,1954.08565,1.66990517,1954.08565,1.88582938,1954.08565,2.42167010,1954.08565,2.59793669,1954.08565,2.30805632,1880.39247
TOI-2842 b,TOI-2842,TIC 178162579,0.0475,12.84549188,117.59651059,,5910.0,1.265,1.135,1.760,4.7,G0V,0.00100,0.1,1.23,33.8,2.53231621,780.05061,6.25091303,780.05061,7.05917655,780.05061,9.06497533,780.05061,9.72478954,780.05061,9.00080019,782.00722
K2-34 b,K2-34,TIC 178217113,0.0442,13.75,539.67534,F,6168.0,1.42,1.16,2.510,2.88,F8V,0.00100,0.1,1.23,70.0,0.24290151,1284.85897,0.59959187,1284.85897,0.67712107,1284.85897,0.86951866,1284.85897,0.93280849,1284.85897,0.81141928,1210.58520
HD 25015 b,HD 25015,TIC 178249461,6.248,12.5,2884.928450339,K2 V,5160.0,0.83,0.86,0.413,4.0,K1V,0.00100,0.1,1.23,169.8,0.00000005,0.01058,0.00000013,0.01058,0.00000015,0.01058,0.00000019,0.01058,0.00000020,0.01058,0.00000018,0.01040
HATS-57 b,HATS-57,TIC 178289267,0.03493,12.767051,1000.21101,,5587.0,0.96,1.026,0.805,2.5,G6V,0.00100,0.1,1.23,99.0,0.02906854,659.78559,0.07175442,659.78559,0.08103250,659.78559,0.10405713,659.78559,0.11163116,659.78559,0.09517405,609.28853
TOI-763 b,TOI-763,TIC 178819686,0.06,2.28,9.79,G,5450.0,0.897,0.917,0.702,nan,G8V,0.00100,0.1,1.23,23.2,0.51062076,194.95191,1.26044525,194.95191,1.42342495,194.95191,1.82787779,194.95191,1.96092390,194.95191,nan,nan
TOI-763 c,TOI-763,TIC 178819686,0.1011,2.63,9.32,G,5450.0,0.897,0.917,0.702,nan,G8V,0.00100,0.1,1.23,21.0,0.30457547,68.66378,0.75183136,68.66378,0.84904562,68.66378,1.09029397,68.66378,1.16965342,68.66378,nan,nan
HATS-63 b,HATS-63,TIC 178879588,0.04026,13.529263,305.1168,,5627.0,1.07,0.931,1.028,10.3,G6V,0.00100,0.1,1.23,53.1,0.35732586,634.22369,0.88204342,634.22369,0.99609452,634.22369,1.27912543,634.22369,1.37222940,634.22369,1.37587925,688.78413
WASP-157 b,WASP-157,TIC 179012583,0.0499,11.19,182.43442,G2 V,5772.0,1.1,1.06,1.200,1.6,G2V,0.00100,0.1,1.23,45.1,0.42988017,482.10197,1.06114062,482.10197,1.19834957,482.10197,1.53884936,482.10197,1.65085790,482.10197,1.31111767,414.72284
TOI-163 b,TOI-163,TIC 179317684,0.058,16.690201,387.7526,F,6495.0,1.648,1.4352,4.330,1.823,F5V,0.00100,0.1,1.23,53.9,0.84302623,1287.16438,2.08097377,1287.16438,2.35005049,1287.16438,3.01779529,1287.16438,3.23745217,1287.16438,2.62846817,1131.93228
HD 140901 c,HD 140901,TIC 179348425,11.8,13.4,572.0911326,G7 IV,5610.0,0.95,1.06,0.790,3.2,G6V,0.00100,0.1,1.23,73.0,0.00000088,0.00567,0.00000218,0.00567,0.00000246,0.00567,0.00000316,0.00567,0.00000339,0.00567,0.00000299,0.00542
PDS 70 b,PDS 70,TIC 179413040,20.8,21.96960217,1017.0509024,K7,4109.0,1.26,0.982,0.350,0.008,K7V,0.00100,0.1,1.23,76.1,0.00000018,0.00081,0.00000043,0.00081,0.00000049,0.00081,0.00000063,0.00081,0.00000067,0.00081,0.00000001,0.00002
PDS 70 c,PDS 70,TIC 179413040,34.3,22.19378179,2383.7130525,K7,4109.0,1.26,0.982,0.350,0.008,K7V,0.00100,0.1,1.23,115.9,0.00000001,0.00030,0.00000003,0.00030,0.00000003,0.00030,0.00000004,0.00030,0.00000005,0.00030,0.00000000,0.00001
TOI-4507 b,TOI-4507,TIC 179582003,0.456,8.2,20.0,F,6260.0,1.04,1.11,1.410,0.7,F7V,0.00100,0.1,1.23,17.5,0.19797196,6.78095,0.48868523,6.78095,0.55187383,6.78095,0.70868360,6.78095,0.76026669,6.78095,0.50854152,4.91290
HAT-P-21 b,HAT-P-21,TIC 17993892,0.05037,12.44199,1547.8321,G3,5588.0,1.21,1.24,1.520,10.2,G6V,0.00100,0.1,1.23,124.7,0.01020116,599.09556,0.02518113,599.09556,0.02843714,599.09556,0.03651728,599.09556,0.03917527,599.09556,0.03924516,650.06565
HD 115954 b,HD 115954,TIC 180655149,5.0,12.6,2685.65003915,G0 V,5957.0,1.213,1.18,3.026,nan,G0V,0.00100,0.1,1.23,163.2,0.00000071,0.12105,0.00000176,0.12105,0.00000198,0.12105,0.00000255,0.12105,0.00000273,0.12105,nan,nan
TOI-1807 b,TOI-1807,TIC 180695581,0.0122,1.49681583,2.44,,4914.0,0.746,0.8048,0.293,2.1,K3V,0.00100,0.1,1.23,14.3,23.48592107,1968.56763,57.97398025,1968.56763,65.47020567,1968.56763,84.07295027,1968.56763,90.19238529,1968.56763,74.90313160,1770.79184
HIP 56640 b,HIP 56640,TIC 181152368,4.55,12.7,2151.69831539,K1 III,4769.0,4.93,1.75,11.220,9.15,K3V,0.00100,0.1,1.23,145.5,0.00000508,0.54197,0.00001254,0.54197,0.00001416,0.54197,0.00001818,0.54197,0.00001950,0.54197,0.00001935,0.58228
LP 791-18 c,LP 791-18,TIC 181804752,0.02961,2.488,7.16,M(6.1 +/- 0.7) V,2960.0,0.182,0.139,0.002,0.5,M5.5V,0.00010,0.6,1.23,19.0,0.00166921,0.26233,0.01001524,0.63764,0.01484217,0.83677,0.02682076,1.17751,0.03076115,1.25888,0.00834603,0.36995
LP 791-18 d,LP 791-18,TIC 181804752,0.01992,1.032,0.91,M(6.1 +/- 0.7) V,2960.0,0.182,0.139,0.002,0.5,M5.5V,0.00010,0.6,1.23,10.5,0.01629444,0.57963,0.09776664,1.40889,0.14488613,1.84885,0.26181854,2.60174,0.30028385,2.78152,0.08147220,0.81742
WASP-39 b,WASP-39,TIC 181949561,0.04828,14.336311,89.31023,,5485.0,0.939,0.913,0.745,8.5,G8V,0.00100,0.1,1.23,27.9,2.50027116,319.55490,6.17181120,319.55490,6.96984659,319.55490,8.95026310,319.55490,9.60172773,319.55490,9.45816782,340.94959
TOI-169 b,TOI-169,TIC 183120439,0.03524,12.172974,251.40353,G1 V,5880.0,1.288,1.147,1.789,4.7,G1V,0.00100,0.1,1.23,50.8,0.87079785,1440.58272,2.14952683,1440.58272,2.42746769,1440.58272,3.11720985,1440.58272,3.34410284,1440.58272,3.09514169,1444.19614
HD 70642 b,HD 70642,TIC 183356952,3.318,13.0,1239.5307873,G6 V,5732.0,0.984,1.078,1.028,0.919,G3V,0.00100,0.1,1.23,109.2,0.00000283,0.09339,0.00000698,0.09339,0.00000788,0.09339,0.00001012,0.09339,0.00001086,0.09339,0.00000774,0.07210
WASP-29 b,WASP-29,TIC 183537452,0.0457,8.63093,73.1009,,4800.0,0.79,0.77,0.298,14.0,K3V,0.00100,0.1,1.23,32.5,0.36419732,142.91493,0.89900533,142.91493,1.01524966,142.91493,1.30372332,142.91493,1.39861770,142.91493,1.43950511,159.32314
HD 103891 b,HD 103891,TIC 183648073,3.27,13.2,918.52409623,F9,6072.0,2.22,1.28,6.110,3.68,F9V,0.00100,0.1,1.23,93.3,0.00003299,0.57141,0.00008144,0.57141,0.00009197,0.57141,0.00011810,0.57141,0.00012670,0.57141,0.00011384,0.55611
LTT 9779 b,LTT 9779,TIC 183985250,0.01679,4.72,29.32,G7 V,5443.0,0.949,1.02,0.680,2.0,G8V,0.00100,0.1,1.23,27.9,6.24940226,2412.17386,15.42637915,2412.17386,17.42106048,2412.17386,22.37109134,2412.17386,23.99942054,2412.17386,19.77885151,2153.25762
Kepler-328 b,Kepler-328,TIC 184164097,0.2199,2.3,28.5,,6064.0,1.06,1.15,2.755,2.57,F9V,0.00100,0.1,1.23,39.4,0.01807612,56.97437,0.04462011,56.97437,0.05038964,56.97437,0.06470738,56.97437,0.06941725,56.97437,0.05942081,52.82479
Kepler-328 c,Kepler-328,TIC 184164097,0.354,5.4,39.4,,6064.0,1.06,1.15,2.755,2.57,F9V,0.00100,0.1,1.23,30.2,0.04723285,21.98485,0.11659224,21.98485,0.13166800,21.98485,0.16908022,21.98485,0.18138710,21.98485,0.15526642,20.38364
WASP-5 b,WASP-5,TIC 184240683,0.0267,12.184,502.15,G5,5700.0,1.029,0.96,1.167,5.4,G3V,0.00100,0.1,1.23,71.8,0.24876084,1637.37244,0.61405538,1637.37244,0.69345476,1637.37244,0.89049342,1637.37244,0.95530994,1637.37244,0.89821048,1667.50969
Kepler-80 f,Kepler-80,TIC 184296619,0.0175,1.21,4459.73,K5,4540.0,0.678,0.73,0.170,2.0,K4V,0.00100,0.1,1.23,678.7,0.00000105,555.10342,0.00000259,555.10342,0.00000292,555.10342,0.00000375,555.10342,0.00000402,555.10342,0.00000331,495.52011
Kepler-80 c,Kepler-80,TIC 184296619,0.0792,2.74,6.74,K5,4540.0,0.678,0.73,0.170,2.0,K4V,0.00100,0.1,1.23,17.5,0.25993415,27.10189,0.64163621,27.10189,0.72460187,27.10189,0.93049069,27.10189,0.99821850,27.10189,0.82267051,24.19285
Kepler-80 e,Kepler-80,TIC 184296619,0.0491,1.6,4.13,K5,4540.0,0.678,0.73,0.170,2.0,K4V,0.00100,0.1,1.23,18.0,0.35865647,70.51589,0.88532798,70.51589,0.99980379,70.51589,1.28388865,70.51589,1.37733932,70.51589,1.13511865,62.94691
Kepler-80 b,Kepler-80,TIC 184296619,0.0648,2.67,6.93,K5,4540.0,0.678,0.73,0.170,2.0,K4V,0.00100,0.1,1.23,18.0,0.33985926,40.48554,0.83892789,40.48554,0.94740401,40.48554,1.21659997,40.48554,1.30515288,40.48554,1.07562702,36.13994
Kepler-80 d,Kepler-80,TIC 184296619,0.0372,1.53,6.75,K5,4540.0,0.678,0.73,0.170,2.0,K4V,0.00100,0.1,1.23,23.5,0.20453266,122.84688,0.50488003,122.84688,0.57016268,122.84688,0.73216905,122.84688,0.78546159,122.84688,0.64732930,109.66082
Kepler-58 c,Kepler-58,TIC 184471242,0.12307,2.86,53.0,,5843.0,1.03,0.95,0.990,2.14,G1V,0.00100,0.1,1.23,48.1,0.01153330,65.38462,0.02846946,65.38462,0.03215066,65.38462,0.04128597,65.38462,0.04429106,65.38462,0.03689072,58.98801
Kepler-58 d,Kepler-58,TIC 184471242,0.236,2.94,245.343,,6099.0,1.127,1.024,0.990,2.14,F9V,0.00100,0.1,1.23,102.1,0.00015899,17.78099,0.00039247,17.78099,0.00044322,17.78099,0.00056916,17.78099,0.00061058,17.78099,0.00050856,16.04147
Kepler-58 e,Kepler-58,TIC 184471242,0.0533,1.61,597.796,,6100.0,1.083,1.017,0.990,2.14,F9V,0.00100,0.1,1.23,215.4,0.00008622,348.59855,0.00021284,348.59855,0.00024036,348.59855,0.00030866,348.59855,0.00033112,348.59855,0.00027580,314.49500
Kepler-58 b,Kepler-58,TIC 184471242,0.09291,2.78,35.5,,5843.0,1.03,0.95,0.990,2.14,G1V,0.00100,0.1,1.23,40.0,0.04142520,114.72421,0.10225630,114.72421,0.11547838,114.72421,0.14829048,114.72421,0.15908413,114.72421,0.13250368,103.50069
Kepler-106 b,Kepler-106,TIC 184997417,0.06491,0.82,5.3,,5858.0,1.04,1.0,1.209,4.83,G1V,0.00100,0.1,1.23,28.4,0.11932966,287.02966,0.29456011,287.02966,0.33264769,287.02966,0.42716641,287.02966,0.45825866,287.02966,0.42548109,288.65789
Kepler-106 d,Kepler-106,TIC 184997417,0.16063,0.95,8.1,,5858.0,1.04,1.0,1.209,4.83,G1V,0.00100,0.1,1.23,32.6,0.01297267,46.87019,0.03202247,46.87019,0.03616308,46.87019,0.04643848,46.87019,0.04981860,46.87019,0.04625526,47.13607
Kepler-106 e,Kepler-106,TIC 184997417,0.24006,2.56,11.17,,5858.0,1.04,1.0,1.209,4.83,G1V,0.00100,0.1,1.23,23.4,0.05976622,20.98507,0.14753032,20.98507,0.16660647,20.98507,0.21394614,20.98507,0.22951868,20.98507,0.21310204,21.10411
Kepler-106 c,Kepler-106,TIC 184997417,0.10987,2.5,10.44,,5858.0,1.04,1.0,1.209,4.83,G1V,0.00100,0.1,1.23,22.8,0.30418836,100.18247,0.75087580,100.18247,0.84796650,100.18247,1.08890823,100.18247,1.16816681,100.18247,1.08461210,100.75078
Kepler-1705 b,Kepler-1705,TIC 185335907,0.08,2.03,4.47,,6312.0,1.259,1.139,2.260,2.59,F7V,0.00100,0.1,1.23,16.6,3.13137372,353.12627,7.72966057,353.12627,8.72913098,353.12627,11.20943164,353.12627,12.02533483,353.12627,10.30511886,327.77281
TOI-6303 b,TOI-6303,TIC 186810676,0.0761,11.59,2493.0,,3977.0,0.609,0.644,0.082,6.4,K8V,0.00100,0.1,1.23,164.0,0.00007503,14.14200,0.00018521,14.14200,0.00020916,14.14200,0.00026859,14.14200,0.00028814,14.14200,0.00027592,14.66782
Wolf 503 b,Wolf 503,TIC 187278212,0.05706,2.043,6.26,K3.5 V,4716.0,0.689,0.688,0.211,11.0,K3V,0.00100,0.1,1.23,19.6,0.29867901,64.80619,0.73727622,64.80619,0.83260845,64.80619,1.06918633,64.80619,1.14700942,64.80619,1.15677262,70.79206
HATS-72 b,HATS-72,TIC 188570092,0.066517,8.0973816,39.855882,,4656.1,0.7214,0.7311,0.219,12.17,K4V,0.00100,0.1,1.23,24.8,0.35087746,49.56495,0.86612583,49.56495,0.97811874,49.56495,1.25604200,49.56495,1.34746579,49.56495,1.37082729,54.61686
GJ 876 e,GJ 876,TIC 188580272,0.3343,3.92,14.6,M2.5V,3293.74,0.3,0.32,0.012,1.0,M3.5V,0.00100,0.6,1.23,21.6,0.00066410,0.11096,0.00398458,0.26970,0.00590499,0.35391,0.01067069,0.49803,0.01223838,0.53245,0.00590499,0.27827
GJ 876 b,GJ 876,TIC 188580272,0.208317,13.3,723.2235,M2.5V,3293.74,0.3,0.32,0.012,1.0,M3.5V,0.00100,0.6,1.23,82.4,0.00002722,0.28574,0.00016333,0.69454,0.00024205,0.91143,0.00043739,1.28258,0.00050165,1.37120,0.00024205,0.71661
GJ 876 c,GJ 876,TIC 188580272,0.12959,14.0,226.9846,M2.5V,3293.74,0.3,0.32,0.012,1.0,M3.5V,0.00100,0.6,1.23,45.0,0.00083291,0.73838,0.00499748,1.79474,0.00740606,2.35520,0.01338323,3.31428,0.01534944,3.54329,0.00740606,1.85178
GJ 876 d,GJ 876,TIC 188580272,0.02080665,2.51,6.83,M2.5V,3293.74,0.3,0.32,0.012,1.0,M3.5V,0.00100,0.6,1.23,18.4,0.20564930,28.64281,1.23389582,69.62118,1.82858265,91.36228,3.30436634,128.56653,3.78983032,137.45037,1.82858265,71.83363
GJ 3929 b,GJ 3929,TIC 188589164,0.0252,1.09,1.75,M3.5 V,3384.0,0.32,0.313,0.011,7.1,M3V,0.00100,0.6,1.23,14.2,0.15373195,17.16441,0.92239167,41.72099,1.36694637,54.74950,2.47015992,77.04442,2.83306571,82.36812,2.66097555,83.79739
HAT-P-53 b,HAT-P-53,TIC 189380158,0.03159,14.773462,471.65972,,5956.0,1.209,1.093,1.650,4.67,G0V,0.00100,0.1,1.23,63.2,0.50757686,1653.41072,1.25293153,1653.41072,1.41493968,1653.41072,1.81698151,1653.41072,1.94923452,1653.41072,1.80277657,1656.32528
HATS-64 b,HATS-64,TIC 189625051,0.06562,18.819911,305.1168,,6554.0,2.113,1.564,7.370,1.861,F5V,0.00100,0.1,1.23,45.0,2.59567199,1711.58136,6.40730402,1711.58136,7.23578941,1711.58136,9.29177107,1711.58136,9.96809311,1711.58136,8.12043539,1510.26044
GJ 3470 b,GJ 3470,TIC 19028197,0.0355,4.57,13.9,M1.5,3600.0,0.547,0.539,0.029,1.65,M1.5V,0.00100,0.6,1.23,19.5,0.24076541,23.01141,1.44459249,55.93312,2.14082641,73.39974,3.86861089,103.28935,4.43697136,110.42656,2.74839094,74.08879
TOI-615 b,TOI-615,TIC 190496853,0.0678,18.97680433,138.255357045,F2 V,6850.0,1.732,1.449,5.860,1.7,F2V,0.00100,0.1,1.23,30.2,9.65334268,1274.79577,23.82885884,1274.79577,26.91000829,1274.79577,34.55623463,1274.79577,37.07148635,1274.79577,29.74946966,1108.06927
Qatar-5 b,Qatar-5,TIC 190998418,0.04127,12.408363,1373.0256,G2 V,5747.0,1.076,1.128,1.138,0.53,G2V,0.00100,0.1,1.23,117.6,0.01434132,668.14552,0.03540092,668.14552,0.03997838,668.14552,0.05133786,668.14552,0.05507460,668.14552,0.03420575,449.47538
TOI-6041 b,TOI-6041,TIC 192415680,0.1651,4.55,28.9,G7,5445.0,0.879,0.885,0.613,7.9,G8V,0.00100,0.1,1.23,28.2,0.05372002,22.48878,0.13260555,22.48878,0.14975188,22.48878,0.19230247,22.48878,0.20629963,22.48878,0.20178769,23.82589
NGTS-1 b,NGTS-1,TIC 192826603,0.0326,14.90797,258.07796,M0.5,3916.0,0.573,0.617,0.070,nan,K9V,0.00100,0.1,1.23,46.5,0.06966110,66.11573,0.17195540,66.11573,0.19418980,66.11573,0.24936701,66.11573,0.26751774,66.11573,nan,nan
Ross 176 b,Ross 176,TIC 193336820,0.0464,1.84,4.57,K7 V,4041.0,0.569,0.577,0.078,3.0,K8V,0.00100,0.1,1.23,17.6,0.22835310,36.14548,0.56367976,36.14548,0.63656539,36.14548,0.81743948,36.14548,0.87693861,36.14548,0.76710346,34.24726
WASP-149 b,WASP-149,TIC 19342878,0.024,15.24421375,314.967951337,,5750.0,1.08,1.05,1.105,0.6,G2V,0.00100,0.1,1.23,50.8,1.45118133,1918.70195,3.58217834,1918.70195,4.04536573,1918.70195,5.19481844,1918.70195,5.57293475,1918.70195,3.58217834,1335.85042
TOI-824 b,TOI-824,TIC 193641523,0.02177,2.926,18.467,K4 V,4600.0,0.695,0.71,0.195,7.5,K4V,0.00100,0.1,1.23,28.1,0.64014037,411.44628,1.58015882,411.44628,1.78447852,411.44628,2.29152135,411.44628,2.45831478,411.44628,2.39230092,433.68912
HATS-52 b,HATS-52,TIC 19684256,0.02498,15.490838,711.9392,,6010.0,1.046,1.111,1.170,1.2,F9.5V,0.00100,0.1,1.23,75.8,0.29125666,1875.01666,0.71895447,1875.01666,0.81191763,1875.01666,1.04261641,1875.01666,1.11850554,1875.01666,0.84254008,1529.83513
HAT-P-12 b,HAT-P-12,TIC 198108326,0.0384,10.749,67.059,K4,4650.0,0.701,0.733,0.210,2.5,K4V,0.00100,0.1,1.23,27.9,0.83264409,142.34347,2.05534591,142.34347,2.32110887,142.34347,2.98063017,142.34347,3.19758191,142.34347,2.72618159,131.44913
TOI-1798.01,TOI-1798,TIC 198153540,0.074984,2.448,6.5,,5165.0,0.78,0.87,0.384,2.6,K1V,0.00100,0.1,1.23,18.2,0.50226409,68.29561,1.23981718,68.29561,1.40012960,68.29561,1.79796328,68.29561,1.92883200,68.29561,1.65382916,63.42728
TOI-1798.02,TOI-1798,TIC 198153540,0.010789,1.464,5.6,,5165.0,0.78,0.87,0.384,2.6,K1V,0.00100,0.1,1.23,21.9,6.99111745,3298.88832,17.25727102,3298.88832,19.48869266,3298.88832,25.02622180,3298.88832,26.84781052,3298.88832,23.01998915,3063.73307
TOI-1269 b,TOI-1269,TIC 198241702,0.0496,2.40144286,6.4,,5499.0,0.8521,0.9027,0.603,3.1,G8V,0.00100,0.1,1.23,18.3,1.75527546,245.10753,4.33282153,245.10753,4.89306954,245.10753,6.28338934,245.10753,6.74073968,245.10753,5.92269752,233.26830
TOI-1437 b,TOI-1437,TIC 198356533,0.14,2.24,9.6,,6008.0,1.17,1.1,1.926,6.7,F9.5V,0.00100,0.1,1.23,23.1,0.25382671,98.26615,0.62656026,98.26615,0.70757655,98.26615,0.90862779,98.26615,0.97476427,98.26615,0.93784353,102.40515
HD 154345 b,HD 154345,TIC 198562505,4.158,13.7,376.944490702,G8,5468.0,0.85,0.89,0.603,9.527,G8V,0.00100,0.1,1.23,58.6,0.00001338,0.03491,0.00003303,0.03491,0.00003730,0.03491,0.00004789,0.03491,0.00005138,0.03491,0.00005115,0.03764
HD 332231 b,HD 332231,TIC 199376584,0.145,9.07303305,74.1,F8,6128.0,1.266,1.1642,2.032,2.9,F8V,0.00100,0.1,1.23,32.0,0.27844336,96.64602,0.68732539,96.64602,0.77619881,96.64602,0.99674842,96.64602,1.06929895,96.64602,0.93103674,91.14624
TOI-1410.01,TOI-1410,TIC 199444169,0.0207,3.10083009,12.5,,4635.0,0.7558,0.7941,0.239,6.6,K4V,0.00100,0.1,1.23,22.4,2.25426517,557.77534,5.56455606,557.77534,6.28407137,557.77534,8.06963129,557.77534,8.65699719,557.77534,8.31618911,580.36800
HAT-P-40 b,HAT-P-40,TIC 199671901,0.0608,17.03768,152.5584,,6080.0,1.94,1.03,5.998,2.7,F9V,0.00100,0.1,1.23,33.5,7.30270523,1622.53040,18.02641196,1622.53040,20.35728604,1622.53040,26.14161784,1622.53040,28.04439313,1622.53040,24.17567581,1514.99950
2MASS J22362452+4751425 b,2MASS J22362452+4751425,TIC 200532605,230.0,12.3,3972.875,K7 V,4045.0,0.641152,0.6,0.095,0.12,K7V,0.00100,0.1,1.23,200.9,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000
TOI-257 b,TOI-257,TIC 200723869,0.1528,7.16253867,43.860320166,,6095.0,1.867,1.407,4.330,nan,F9V,0.00100,0.1,1.23,27.7,0.75029568,185.45703,1.85207242,185.45703,2.09155145,185.45703,2.68584617,185.45703,2.88134140,185.45703,nan,nan
HAT-P-13 b,HAT-P-13,TIC 20096620,0.04383,14.258,270.462,G4,5653.0,1.756,1.32,2.218,5.0,G5V,0.00100,0.1,1.23,48.7,0.96906339,1154.66781,2.39209107,1154.66781,2.70139627,1154.66781,3.46897267,1154.66781,3.72146950,1154.66781,3.46897267,1165.81743
TOI-2379 b,TOI-2379,TIC 201177276,0.05263,11.72459381,1830.69162432,,3707.0,0.622,0.645,0.074,10.4,M1V,0.00100,0.6,1.23,139.7,0.00027319,26.82028,0.00163911,65.19120,0.00242910,85.54891,0.00438954,120.38587,0.00503443,128.70443,0.00506794,140.33355
CD-35 2722 b,CD-35 2722,TIC 201426753,67.0,17.37392009,9375.9380065,M1 V,3689.0,0.558549,0.4,0.054,0.1,M1V,0.00100,0.6,1.23,259.7,0.00000000,0.00001,0.00000000,0.00003,0.00000000,0.00004,0.00000000,0.00005,0.00000000,0.00006,0.00000000,0.00000
HATS-29 b,HATS-29,TIC 201604954,0.05475,14.022459,207.54299,G,5670.0,1.073,1.032,1.070,5.5,G4V,0.00100,0.1,1.23,43.0,0.48394940,356.95359,1.19460817,356.95359,1.34907492,356.95359,1.73240190,356.95359,1.85849859,356.95359,1.75095535,364.26015
G 9-40 b,G 9-40,TIC 203214081,0.0418,1.9,4.0,M2.5 V,3395.0,0.3026,0.2952,0.011,9.9,M3V,0.00100,0.6,1.23,16.2,0.05695477,6.27274,0.34172859,15.24696,0.50642766,20.00823,0.91514732,28.15592,1.04959702,30.10147,1.04779674,32.54837
HIP 54597 b,HIP 54597,TIC 20375215,4.0,13.3,762.7881768,K5 V,4799.0,0.66,0.8,0.208,4.3,K3V,0.00100,0.1,1.23,84.7,0.00000111,0.01300,0.00000275,0.01300,0.00000310,0.01300,0.00000399,0.01300,0.00000428,0.01300,0.00000392,0.01290
HATS-32 b,HATS-32,TIC 204317710,0.04024,14.000041,292.4036,,5700.0,1.097,1.099,1.140,3.5,G3V,0.00100,0.1,1.23,51.1,0.47856216,704.01847,1.18130999,704.01847,1.33405724,704.01847,1.71311709,704.01847,1.83781009,704.01847,1.64077628,680.80050
WASP-6 b,WASP-6,TIC 204376737,0.04217,12.5428494,148.425866069,,5438.0,0.79,0.854,0.505,3.2,G8V,0.00100,0.1,1.23,38.5,0.53869637,283.95060,1.32974868,283.95060,1.50168954,283.95060,1.92838053,283.95060,2.06874195,283.95060,1.82541894,271.38516
TOI-4551 b,TOI-4551,TIC 204650483,0.0994,11.85910158,473.56432643,,4896.0,3.55,1.31,6.350,4.92,K3V,0.00100,0.1,1.23,70.6,0.10123401,642.68362,0.24989178,642.68362,0.28220360,642.68362,0.36238911,642.68362,0.38876640,642.68362,0.36172386,647.69826
K2-60 b,K2-60,TIC 206284139,0.045,7.655747,135.39558,G4 V,5500.0,1.12,0.97,1.916,10.0,G8V,0.00100,0.1,1.23,47.0,0.49044524,946.03014,1.21064286,946.03014,1.36718295,946.03014,1.75565516,946.03014,1.88344439,946.03014,1.88344439,1024.68893
TOI-4406 b,TOI-4406,TIC 206541859,0.201,11.2089807,95.3485221,,6219.0,1.29,1.19,2.300,2.9,F8V,0.00100,0.1,1.23,32.6,0.18678420,56.92957,0.46106871,56.92957,0.52068640,56.92957,0.66863455,56.92957,0.71730259,56.92957,0.62455412,53.68990
WASP-144 b,WASP-144,TIC 207077681,0.0316,9.52765,139.8452,K2 V,5200.0,0.81,0.81,0.743,8.71,K1V,0.00100,0.1,1.23,42.8,0.69653012,743.61105,1.71935446,743.61105,1.94167262,743.61105,2.49338068,743.61105,2.67486689,743.61105,2.64097533,795.23425
TOI-558 b,TOI-558,TIC 207110080,0.1291,12.17295304,1147.36054927,F V,6466.0,1.496,1.349,3.520,1.79,F5V,0.00100,0.1,1.23,108.5,0.00612925,211.19689,0.01512979,211.19689,0.01708612,211.19689,0.02194098,211.19689,0.02353800,211.19689,0.01905282,185.16725
