pl_name,hostname,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma,v_esc,"Loss/0.01protoatm., t=0.1 Gyr",insol_0.1_Gyr,"Loss/0.01protoatm., t=0.6 Gyr",insol_0.6_Gyr,"Loss/0.01protoatm., t=1.0 Gyr",insol_1.0_Gyr,"Loss/0.01protoatm., t=5.0 Gyr",insol_5.0_Gyr,"Loss/0.01protoatm., t=10.0 Gyr",insol_10.0_Gyr,"Loss/0.01protoatm., star_age",insol_star_age
BD-17 63 b,BD-17 63,1.34,12.8,1639.99458012,K5 V,4714.0,0.20989,4.3,K4V,0.00100,0.1,1.23,126.5,0.00000134,0.11689,0.00000331,0.11689,0.00000374,0.11689,0.00000480,0.11689,0.00000515,0.11689,0.00000472,0.11596
BD-210397 c,BD-210397,5.9,12.9,1525.5763536,K7 V,4051.0,0.13500,4.0,K7V,0.00100,0.1,1.23,121.6,0.00000005,0.00388,0.00000013,0.00388,0.00000015,0.00388,0.00000019,0.00388,0.00000020,0.00388,0.00000018,0.00381
CD-35 2722 b,CD-35 2722,67.0,17.37392009,9375.9380065,M1 V,3689.0,0.05435,0.1,M1V,0.00100,0.6,1.23,259.7,0.00000000,0.00001,0.00000000,0.00003,0.00000000,0.00004,0.00000000,0.00005,0.00000000,0.00006,0.00000000,0.00000
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,200.0,20.8487041,2479.0615746,M9-L1,2320.0,0.00141,0.003,M9.5V,0.00010,0.6,1.23,121.9,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000
COCONUTS-2 b,COCONUTS-2 A,7506.0,12.44196858,2542.627256,M3 V,3406.0,0.01854,0.475,M3V,0.00100,0.6,1.23,159.8,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000
CT Cha b,CT Cha,440.0,24.66,5403.0,K5e,4403.0,0.79110,0.002,K5V,0.00100,0.1,1.23,165.5,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000
CoRoT-1 b,CoRoT-1,0.02752,16.7,327.35,G0 V,5950.0,1.98577,1.6,G0V,0.00100,0.1,1.23,49.5,1.67620519,2622.00274,4.13764000,2622.00274,4.67265039,2622.00274,6.00034016,2622.00274,6.43708814,2622.00274,5.11236008,2255.54861
CoRoT-10 b,CoRoT-10,0.1055,10.87,874.0,K1 V,5075.0,0.18790,3.0,K2V,0.00100,0.1,1.23,100.2,0.00041749,16.88166,0.00103057,16.88166,0.00116382,16.88166,0.00149451,16.88166,0.00160329,16.88166,0.00140248,15.99510
CoRoT-11 b,CoRoT-11,0.0436,16.03,740.51,F6 V,6440.0,2.38523,2.0,F6V,0.00100,0.1,1.23,76.0,0.13863250,1254.74947,0.34220833,1254.74947,0.38645698,1254.74947,0.49626511,1254.74947,0.53238686,1254.74947,0.43876062,1120.06804
CoRoT-12 b,CoRoT-12,0.04016,16.14,291.438,,5675.0,1.17490,6.3,G4V,0.00100,0.1,1.23,47.5,0.53039588,728.47154,1.30925929,728.47154,1.47855080,728.47154,1.89866714,728.47154,2.03686581,728.47154,1.94721471,754.31212
CoRoT-13 b,CoRoT-13,0.051,9.92,415.704,G0 V,5945.0,1.18342,1.635,G0V,0.00100,0.1,1.23,72.4,0.03780381,454.98769,0.09331707,454.98769,0.10538327,454.98769,0.13532694,454.98769,0.14517701,454.98769,0.11573141,392.86207
CoRoT-14 b,CoRoT-14,0.027,12.22,2415.4,F9 V,6035.0,1.31474,4.2,F9V,0.00100,0.1,1.23,157.2,0.00829693,1803.48474,0.02048061,1803.48474,0.02312882,1803.48474,0.02970065,1803.48474,0.03186248,1803.48474,0.02910042,1784.09995
CoRoT-16 b,CoRoT-16,0.0618,13.11,170.032,G5 V,5650.0,0.36732,6.73,G5V,0.00100,0.1,1.23,40.3,0.11025013,96.17519,0.27214768,96.17519,0.30733727,96.17519,0.39466427,96.17519,0.42339077,96.17519,0.40754135,100.27217
